genre,k,silhouette,cluster_id,cluster_size,horizon,n_in_horizon,brier_in_horizon,brier_ci_lo,brier_ci_hi
economics,4,0.39422470331192017,0,68,1d,24,0.13557293750000002,0.07203674375,0.21444696302083327
economics,4,0.39422470331192017,1,269,1h,269,0.24959377323420076,0.24902991171003716,0.2501127323420074
economics,4,0.39422470331192017,1,269,12h,269,0.24962648698884757,0.24913158921933087,0.25010622676579924
economics,4,0.39422470331192017,1,269,1d,32,0.249690625,0.2490671875,0.2503140625
economics,4,0.39422470331192017,2,79,1h,79,0.23465812341772146,0.22112257096518984,0.24589557278481014
economics,4,0.39422470331192017,2,79,12h,78,0.23718171474358973,0.22429665897435896,0.24698881089743588
economics,4,0.39422470331192017,2,79,1d,27,0.22241190740740738,0.18592797685185186,0.2501861111111111
economics,4,0.39422470331192017,3,84,1h,84,0.2354910833333333,0.22286846428571427,0.24673549404761902
economics,4,0.39422470331192017,3,84,12h,84,0.2453311369047619,0.23810844940476186,0.24988214285714283
economics,4,0.39422470331192017,3,84,1d,23,0.25022065217391304,0.24956739130434782,0.2510923913043478
sports,2,0.07058726251125336,0,54,1h,54,0.09259533796296297,0.05061902314814815,0.14339966296296294
sports,2,0.07058726251125336,0,54,12h,49,0.15977747448979593,0.10752490892857143,0.21727109591836735
sports,2,0.07058726251125336,0,54,1d,48,0.1686415208333333,0.11458669752604167,0.2270246626302083
sports,2,0.07058726251125336,1,382,1h,382,0.10671806871727747,0.08861579911649214,0.1257515238219895
sports,2,0.07058726251125336,1,382,12h,373,0.21793913002680962,0.2005079387902145,0.23566512932305628
sports,2,0.07058726251125336,1,382,1d,316,0.21794335838607595,0.19903441754351264,0.2374252569224684
sports,3,0.0743376761674881,0,54,1h,54,0.09259533796296297,0.05061902314814815,0.14339966296296294
sports,3,0.0743376761674881,0,54,12h,49,0.15977747448979593,0.10752490892857143,0.21727109591836735
sports,3,0.0743376761674881,0,54,1d,48,0.1686415208333333,0.11458669752604167,0.2270246626302083
sports,3,0.0743376761674881,1,72,1h,72,0.08226034722222224,0.04904472734375,0.12118353098958329
sports,3,0.0743376761674881,1,72,12h,72,0.18873400694444445,0.14535606649305555,0.23508622170138888
sports,3,0.0743376761674881,1,72,1d,71,0.19136090845070416,0.14655204612676054,0.2388021607394366
sports,3,0.0743376761674881,2,310,1h,310,0.11239857177419353,0.09217726449596775,0.1340221527419355
sports,3,0.0743376761674881,2,310,12h,301,0.22492507308970103,0.2062372638496678,0.24408603974252494
sports,3,0.0743376761674881,2,310,1d,245,0.22564684387755102,0.20525192556122449,0.2470464469132653
sports,4,0.07648137211799622,0,54,1h,54,0.09259533796296297,0.05061902314814815,0.14339966296296294
sports,4,0.07648137211799622,0,54,12h,49,0.15977747448979593,0.10752490892857143,0.21727109591836735
sports,4,0.07648137211799622,0,54,1d,48,0.1686415208333333,0.11458669752604167,0.2270246626302083
sports,4,0.07648137211799622,1,108,1h,108,0.09694141203703702,0.06512849149305557,0.13234922002314814
sports,4,0.07648137211799622,1,108,12h,100,0.2121989675,0.17792993568750004,0.24709848787499997
sports,4,0.07648137211799622,1,108,1d,94,0.21652714627659575,0.1823931686835106,0.2516030346409574
sports,4,0.07648137211799622,2,204,1h,204,0.12180985171568627,0.0965087419730392,0.14894532104779412
sports,4,0.07648137211799622,2,204,12h,203,0.2313923657635468,0.21004825175492609,0.25406041376231525
sports,4,0.07648137211799622,2,204,1d,153,0.2317753267973856,0.2072261070261438,0.25821283905228765
sports,4,0.07648137211799622,3,70,1h,70,0.07782028571428576,0.04484100785714285,0.11832648080357137
sports,4,0.07648137211799622,3,70,12h,70,0.1871249785714286,0.14323372714285715,0.23560354866071423
sports,4,0.07648137211799622,3,70,1d,69,0.18920180434782605,0.1439640936594203,0.2388167678442029
